name,Type,value,date
"Kellogg, Idaho",Lockheed 10 Electra,2,1936
"Near Milford, Pennsylvania",Douglas DC-2-112,14,1936
"Near Dallas, Texas",Lockheed 10 Electra,6,1936
"Nanking, China",Douglas DC-2,,1936
"Newhall, California",Boeing 247-D,12,1936
"Near Newhall, California",Boeing 247B,5,1937
"Oran, Algeria",Sabca S-73,12,1937
"Off San Francisco, California",Douglas DC-3A,11,1937
"McPherson Ranges, Queensland, Australia",Stinson Model A,5,1937
"Bathurst, Gambia",Heinkel He-111V2,4,1937
"Near Ouroux, France",Short  S-23 (flying boat),5,1937
"Clifton, Pennsylvania",Douglas DC-2-112,13,1937
"Wetnum, Germany",Junkers JU-52/3m,2,1937
"Lakehurst, New Jersey",Zeppelin LZ-129,35,1937
"Stuttgart, Germany",Heinkel He-70,4,1937
"Off Lae, New Guinea",Lockheed 10E Electra,2,1937
"Hal, Belgium",Douglas DC-2-115L,15,1937
"Wadi Halfa, Sudan",Savoia-Marchetti SM73,9,1937
"Off Cristobal, Panama",Sikorsky S-43,14,1937
"Chilang Point, Bias Bay, China",Sikorsky S-43,3,1937
"Daytona Beach, Florida",Douglas DC-2,4,1937
"San Luis, Argentina",Douglas DC-2,3,1937
"Wau, Australia",Stinson SR-7 Reliant,1,1937
"Corsavy, France",Dewoitine D-338,8,1938
"Phaleron Bay, Greece",Short Empire Flying Boat,2,1937
"Palembang, Netherlands Indies",Douglas DC-3,4,1937
"Haydens Peak, Wyoming",Douglas DC-3,19,1937
"Mannheim, Germany",Heinkel He-111,10,1937
"Ostende, Belgium",Junkers JU-52/3m,11,1937
"Croydon, London",Junkers JU-52,3,1937
"Brindisi Harbor, Italy",Short Empire Flying Boat,2,1937
"Saint Sauveur, France",Potez 621,2,1937
"Kasperske Hory, Czechoslovakia",Wibault 283-T12,3,1937
"Frankfurt, Germany",Junkers JU-52/3m,6,1938
"Bozeman, Montana",Lockheed 14H Super Electra,10,1938
"Pago Pago, U.S. Samoa",Sikorsky S-42 (flying boat),7,1938
"North Pine, Ontario, Canada",Stinson Reliant,1,1938
"Off San Clemente Island, California",Consolidated PBY-2 / Consolidated PBY-2,11,1938
"Kandalaksha, Russia",V6 (airship),13,1938
"Marseille, France",Lior¨¦-et-Olivier H-242,8,1938
"Guadalupe, Mexico",Lockheed 10 Electra,2,1938
"Pontoise, France",Junkers JU.52,3,1938
"Near Wawona, Cailifornia",Douglas DC-2-112,9,1938
"Datia, India",Potez 621,7,1938
"Somerton, Australia",De Havilland DH-60,1,1938
"Near Formia, Italy",Junkers JU-52,19,1938
"Balbuena, Mexico",Lockheed Vega 5B,1,1938
"Mangere, New Zealand",Lockheed 10 Electra,2,1938
"Near Saugus, California",Lockheed 14-H2 Super Electra,9,1938
"Sao Paulo, Brazil",Junkers JU-52/3m,2,1938
"Cleveland, Ohio",Douglas DST-A-207A,10,1938
Germany,Heinkel 116,3,1938
"Alberno Canal, BC, Canada",Fairchild 51,1,1938
Tanganyika,De Havilland DH-85,3,1938
"Mount  Mercedario, Chile",Douglas DC-2,4,1938
"Billings, Montana",Lockheed 14 Super Electra,10,1938
"Off Sardinia, Italy",Savoia Marchetti S-66,20,1938
"Stulpica, Romania",Lockheed 14H Super Electra,14,1938
Near Bogota Colombia,Curtiss-Wright Hawk,1,1938
"Kisumu, Kenya",Armstrong-Withworth Atlanta,4,1938
PacifiOcean between Manila and Guam,Martin M-130 (flying boat),15,1938
"Shishijima, Japan",Douglas DF-151,6,1938
"Debrecen, Hungary",Ford Tri-motor,12,1938
"Kiel, Germany",Savoia-Marchetti SM73,16,1938
"Guanabara, Brazil",Junkers JU-52/3m,9,1938
"Bucharest, Romania",Lockheed 14 Electra,7,1938
"Montnago, Italy",Macchi C-94,13,1938
"Wangmoon, China",Douglas DC-2,14,1938
"Innisfail, Australia",De Havilland DH-84,5,1938
"Off Bathurst, Gambia",Dornier DO.18,4,1938
"Grisons, Switzerland",Junkers JU-52/3m,13,1938
"Soest, Germany",Savbia-Marchetti  S-73P,20,1938
"Mt. Dandenong, Australia",Douglas DC-2-112,18,1938
"Somerset, England",Lockheed 14 Electra,2,1938
"Channel Islands, Jersey",de Havilland DH-86,14,1938
"Schiphol, Amsterdam",Douglas DC-3,6,1938
"Regina, Saskatchewan, Canada",Lockheed 14 Electra,2,1938
"Bathurst, Gambia",Junkers JU90V2,11,1938
"Bagdad, Iraq",Short Empire Flying Boat,4,1938
"Off Point Reyes, California",Douglas DC 3-A-SB-3-G-14,7,1938
"Off Kubashima, Japan",Nakajima DC-2,10,1938
"Amsterdam, Netherlands",Lockheed 14-WF62 Super Electra,4,1938
"Darwin, Australia",Short S23 ¡®C¡¯ Class flying boat,13,1938
"Paris, France",Douglas DC-2-115B,5,1939
"Miles City, Montana",Lockheed 14-H Super Electra,4,1939
"Rio de Janeiro, Brazil",Junkers JU-52/3m,9,1939
"Katherine, Australia",Lockheed 14 Electra,4,1939
AtlantiOcean between N.Y. and Bermuda,Short S-23 (flying boat),3,1939
Mediterranean Sea,Junkers JU-52/3m,10,1939
"Haren, Belgium",Junkers JU-52,3,1939
"Manzanares, Colombia",Junkers JU-86,8,1939
"Near Adler, Washington",Boeing 307 Stratoliner,10,1939
"Hannover, Germany",Douglas DC-2-115H,2,1940
AtlantiOcean,de Havilland DH-84 Dragon,6,1941
"Oklahoma City, Oklahoma",Douglas DC-2-112,8,1939
"Near Marrakech, Morocco",Caudron C.635 Simoun,9,1939
Mocambique,Short Empire Flying Boat,2,1939
"Near Marrakech, Morocco",Dewoitine D-338,9,1939
"Guayaquil, Ecuador",Curtiss-Wright C-14 Osprey,1,1939
"Vlissingen, The Netherlands",Koolhoven FK.43,3,1939
